абсурдно	a p s u r d n o
абсурдното	a p s u r d n o t o
абхазка	a p x a s k ə
абхазката	a p x a s k a t ə
абхазките	a p x a s k i t ɛ
абхазкия	a p x a s k i j a
абхазкият	a p x a s k i j a t
абхазко	a p x a s k o
абхазкото	a p x a s k o t o
авангарден	a v a n ɡ a r d ɛ n
авангардна	a v a n ɡ a r d n ə
авангардната	a v a n ɡ a r d n a t ə
авангардни	a v a n ɡ a r d n i
авангардните	a v a n ɡ a r d n i t ɛ
авангардния	a v a n ɡ a r d n i j a
авангардният	a v a n ɡ a r d n i j a t
авангардно	a v a n ɡ a r d n o
авангардното	a v a n ɡ a r d n o t o
аванс	a v a n s
авансира	a v a n s i r ə
авансирай	a v a n s i r a j
авансирайки	a v a n s i r a j k i
авансирайте	a v a n s i r a j t ɛ
авансирал	a v a n s i r a ɫ
авансирала	a v a n s i r a ɫ ə
авансиралата	a v a n s i r a ɫ a t ə
авансирали	a v a n s i r a l i
авансиралите	a v a n s i r a l i t ɛ
авансиралия	a v a n s i r a l i j a
авансиралият	a v a n s i r a l i j a t
авансирало	a v a n s i r a ɫ o
авансиралото	a v a n s i r a ɫ o t o
авансирам	a v a n s i r ə m
авансираме	a v a n s i r ə m ɛ
авансиран	a v a n s i r a n
авансирана	a v a n s i r a n ə
авансираната	a v a n s i r a n a t ə
авансиране	a v a n s i r a n ɛ
авансиранета	a v a n s i r a n ɛ t ə
авансиранетата	a v a n s i r a n ɛ t a t ə
авансирането	a v a n s i r a n ɛ t o
авансирани	a v a n s i r a n i
авансираните	a v a n s i r a n i t ɛ
авансирания	a v a n s i r a n i j a
авансираният	a v a n s i r a n i j a t
авансиранията	a v a n s i r a n i j a t ə
авансирано	a v a n s i r a n o
авансираното	a v a n s i r a n o t o
авансират	a v a n s i r a t
авансирате	a v a n s i r a t ɛ
авансирах	a v a n s i r a x
авансираха	a v a n s i r a x ə
авансирахме	a v a n s i r a x m ɛ
авансирахте	a v a n s i r a x t ɛ
авансираш	a v a n s i r a ʃ
авансираше	a v a n s i r a ʃ ɛ
авансиращ	a v a n s i r a ʃ t
авансираща	a v a n s i r a ʃ t ə
авансиращата	a v a n s i r a ʃ t a t ə
авансиращи	a v a n s i r a ʃ t i
авансиращите	a v a n s i r a ʃ t i t ɛ
авансиращия	a v a n s i r a ʃ t i j a
авансиращият	a v a n s i r a ʃ t i j a t
авансиращо	a v a n s i r a ʃ t o
авансиращото	a v a n s i r a ʃ t o t o
авансов	ə v a n s o f
авансова	a v a n s o v ə
авансовата	a v a n s o v a t ə
авансови	a v a n s o v i
авансовите	a v a n s o v i t ɛ
авансовия	a v a n s o v i j a
авансовият	a v a n s o v i j a t
авансово	a v a n s o v o
авансовото	a v a n s o v o t o
авантюра	a v a n t j u r ə
авантюрист	ə v a n t j u r i s t
авантюристична	a v a n t j u r i s t i tʃ n ə
авантюристичната	a v a n t j u r i s t i tʃ n a t ə
авантюристични	a v a n t j u r i s t i tʃ n i
авантюристичните	a v a n t j u r i s t i tʃ n i t ɛ
авантюристичния	a v a n t j u r i s t i tʃ n i j a
авантюристичният	a v a n t j u r i s t i tʃ n i j a t
авантюристично	a v a n t j u r i s t i tʃ n o
авантюристичното	a v a n t j u r i s t i tʃ n o t o
авантюристка	a v a n t j u r i s t k ə
авар	a v a r
аварийна	a v a r i j n ə
аварийната	a v a r i j n a t ə
аварийни	a v a r i j n i
аварийните	a v a r i j n i t ɛ
аварийния	a v a r i j n i j a
аварийният	a v a r i j n i j a t
аварийно	a v a r i j n o
аварийното	a v a r i j n o t o
аварин	a v a r i n
авария	a v a r i j a
аварка	a v a r k ə
аварска	a v a r s k ə
аварската	a v a r s k a t ə
аварските	a v a r s k i t ɛ
аварския	a v a r s k i j a
аварският	a v a r s k i j a t
аварско	a v a r s k o
аварското	a v a r s k o t o
авгиева	a v ɡ i ɛ v ə
авгиевата	a v ɡ i ɛ v a t ə
авгиеви	a v ɡ i ɛ v i
авгиевите	a v ɡ i ɛ v i t ɛ
авгиевия	a v ɡ i ɛ v i j a
авгиевият	a v ɡ i ɛ v i j a t
авгиево	a v ɡ i ɛ v o
авгиевото	a v ɡ i ɛ v o t o
августейша	a v ɡ u s t ɛ j ʃ ə
августейшата	a v ɡ u s t ɛ j ʃ ə t ə
августейшите	a v ɡ u s t ɛ j ʃ i t ɛ
августейшия	a v ɡ u s t ɛ j ʃ i j a
августейшият	a v ɡ u s t ɛ j ʃ i j a t
августейшо	a v ɡ u s t ɛ j ʃ o
августейшото	a v ɡ u s t ɛ j ʃ o t o
августовска	a v ɡ u s t o f s k ə
августовската	a v ɡ u s t o f s k a t ə
августовските	a v ɡ u s t o f s k i t ɛ
августовския	a v ɡ u s t o f s k i j a
августовският	a v ɡ u s t o f s k i j a t
августовско	a v ɡ u s t o f s k o
августовското	a v ɡ u s t o f s k o t o
авеню	a v ɛ n j u
авиатор	a v i a t o r
авиаторка	a v i a t o r k ə
авиаторска	a v i a t o r s k ə
авиаторската	a v i a t o r s k a t ə
авиаторските	a v i a t o r s k i t ɛ
авиаторския	a v i a t o r s k i j a
авиаторският	a v i a t o r s k i j a t
авиаторско	a v i a t o r s k o
авиаторското	a v i a t o r s k o t o
австралиец	a f s t r a l i ɛ ts
австралийка	a f s t r a l i j k ə
австриец	a f s t r i ɛ ts
австрийка	ə f s t r i j k ə
автентична	a f t ɛ n t i tʃ n ə
автентичната	a f t ɛ n t i tʃ n a t ə
автентични	a f t ɛ n t i tʃ n i
автентичните	a f t ɛ n t i tʃ n i t ɛ
автентичния	a f t ɛ n t i tʃ n i j a
автентичният	a f t ɛ n t i tʃ n i j a t
автентично	a f t ɛ n t i tʃ n o
автентичност	a f t ɛ n t i tʃ n o s t
автентичното	a f t ɛ n t i tʃ n o t o
автомобилче	a f t o m o b i l tʃ ɛ
автономен	a f t o n o m ɛ n
автономия	a f t o n o m i j a
автономна	a f t o n o m n ə
автономната	a f t o n o m n a t ə
автономни	a f t o n o m n i
автономните	a f t o n o m n i t ɛ
автономния	a f t o n o m n i j a
автономният	a f t o n o m n i j a t
автономно	a f t o n o m n o
автономното	a f t o n o m n o t o
автор	a f t o r
авторитет	a f t o r i t ɛ t
авторитетна	a f t o r i t ɛ t n ə
авторитетната	a f t o r i t ɛ t n a t ə
авторитетни	a f t o r i t ɛ t n i
авторитетните	a f t o r i t ɛ t n i t ɛ
авторитетния	a f t o r i t ɛ t n i j a
авторитетният	a f t o r i t ɛ t n i j a t
авторитетно	a f t o r i t ɛ t n o
авторитетното	a f t o r i t ɛ t n o t o
авторка	a f t o r k ə
авторски	a f t o r s k i
авторство	a f t o r s t v o
агент	a ɡ ɛ n t
агентин	a ɡ ɛ n t i n
агентка	a ɡ ɛ n t k ə
агенция	a ɡ ɛ n ts i j a
агитатор	a ɡ i t a t o r
агитаторка	a ɡ i t a t o r k ə
агитация	a ɡ i t a ts i j a
агитка	a ɡ i t k ə
агитпропчик	a ɡ i t p r o p tʃ i k
агностик	a ɡ n o s t i k
агностичка	a ɡ n o s t i tʃ k ə
агора	a ɡ o r ə
агрегат	a ɡ r ɛ ɡ a t
агресивен	a ɡ r ɛ s i v ɛ n
агресивност	a ɡ r ɛ s i v n o s t
агресор	a ɡ r ɛ s o r
агресорка	a ɡ r ɛ s o r k ə
агроном	a ɡ r o n o m
агрономка	a ɡ r o n o m k ə
агротехник	a ɡ r o t ɛ x n i k
агротехничка	a ɡ r o t ɛ x n i tʃ k ə
адаптация	a d ə p t a ts i j a
адвентист	a d v ɛ n t i s t
адвентистка	a d v ɛ n t i s t k ə
адвокат	a d v o k a t
адвокатка	a d v o k a t k ə
адекватен	a d ɛ k v a t ɛ n
адекватност	a d ɛ k v a t n o s t
администраторка	a d m i n i s t r a t o r k ə
адмирал	a d m i r a l
адрес	a d r ɛ s
адресира	a d r ɛ s i r ə
адресирай	a d r ɛ s i r a j
адресирайки	a d r ɛ s i r a j k i
адресирайте	a d r ɛ s i r a j t ɛ
адресирал	a d r ɛ s i r a ɫ
адресирала	a d r ɛ s i r a ɫ ə
адресиралата	a d r ɛ s i r a ɫ a t ə
адресирали	a d r ɛ s i r a l i
адресиралите	a d r ɛ s i r a l i t ɛ
адресиралия	a d r ɛ s i r a l i j a
адресиралият	a d r ɛ s i r a l i j a t
адресирало	a d r ɛ s i r a ɫ o
адресиралото	a d r ɛ s i r a ɫ o t o
адресирам	a d r ɛ s i r ə m
адресираме	a d r ɛ s i r ə m ɛ
адресиран	a d r ɛ s i r a n
адресирана	a d r ɛ s i r a n ə
адресираната	a d r ɛ s i r a n a t ə
адресиране	a d r ɛ s i r a n ɛ
адресиранета	a d r ɛ s i r a n ɛ t ə
адресиранетата	a d r ɛ s i r a n ɛ t a t ə
адресирането	a d r ɛ s i r a n ɛ t o
адресирани	a d r ɛ s i r a n i
адресираните	a d r ɛ s i r a n i t ɛ
адресирания	a d r ɛ s i r a n i j a
адресираният	a d r ɛ s i r a n i j a t
адресиранията	a d r ɛ s i r a n i j a t ə
адресирано	a d r ɛ s i r a n o
адресираното	a d r ɛ s i r a n o t o
адресират	a d r ɛ s i r a t
адресирате	a d r ɛ s i r a t ɛ
адресирах	a d r ɛ s i r a x
адресираха	a d r ɛ s i r a x ə
адресирахме	a d r ɛ s i r a x m ɛ
адресирахте	a d r ɛ s i r a x t ɛ
адресираш	a d r ɛ s i r a ʃ
адресираше	a d r ɛ s i r a ʃ ɛ
адресиращ	a d r ɛ s i r a ʃ t
адресираща	a d r ɛ s i r a ʃ t ə
адресиращата	a d r ɛ s i r a ʃ t a t ə
адресиращи	a d r ɛ s i r a ʃ t i
адресиращите	a d r ɛ s i r a ʃ t i t ɛ
адресиращия	a d r ɛ s i r a ʃ t i j a
адресиращият	a d r ɛ s i r a ʃ t i j a t
адресиращо	a d r ɛ s i r a ʃ t o
адресиращото	a d r ɛ s i r a ʃ t o t o
азалия	a z a l i j a
азбест	a z b ɛ s t
азбестов	a z b ɛ s t o f
азербайджанец	a z ɛ r b ə i d ʒ a n ɛ ts
азиатец	a z i a t ɛ ts
азиатка	a z i a t k ə
азотен	a z o t ɛ n
акварелист	a k v a r ɛ l i s t
акварелистка	a k v a r ɛ l i s t k ə
акордеонист	a k o r d ɛ o n i s t
акордеонистка	a k o r d ɛ o n i s t k ə
акробат	a k r o b a t
акробатика	a k r u b a t i k ə
акробатка	a k r o b a t k ə
активен	a k t i v ɛ n
активист	a k t i v i s t
активистка	a k t i v i s t k ə
активност	a k t i v n o s t
актриса	a k t r i s ə
актуален	a k t u a l ɛ n
акуратен	a k u r a t ɛ n
акустика	a k u s t i k ə
акцент	a k ts ɛ n t
аларма	a l a r m ə
албанец	a l b a n ɛ ts
алгоритъм	a l ɡ o r i t a m
алебарда	a l ɛ b a r d ə
алегория	a l ɛ ɡ o r i j a
алжирец	a l ʒ i r ɛ ts
алжирка	a l ʒ i r k ə
алкохолизъм	a l k o x o l i z a m
алкохолик	a l k o x o l i k
алкохоличка	a l k o x o l i tʃ k ə
алманах	a l m a n a x
алпиец	a l p i ɛ ts
алтернатива	a l t ɛ r n a t i v ə
алтов	a l t o f
амбициозен	a m b i ts i o z ɛ n
аметист	a m ɛ t i s t
амнистия	a m n i s t i j a
амоняк	a m o n j a k
аналитичен	a n a l i t i tʃ ɛ n
аналитически	a n a l i t i tʃ ɛ s k i
аналог	a n a l o k
анатема	a n a t ɛ m ə
анатемоса	a n a t ɛ m o s ə
анатемосай	a n a t ɛ m o s a j
анатемосайте	a n a t ɛ m o s a j t ɛ
анатемосал	a n a t ɛ m o s a ɫ
анатемосала	a n a t ɛ m o s a ɫ ə
анатемосалата	a n a t ɛ m o s a ɫ a t ə
анатемосали	a n a t ɛ m o s ə l i
анатемосалите	a n a t ɛ m o s ə l i t ɛ
анатемосалия	a n a t ɛ m o s ə l i j a
анатемосалият	a n a t ɛ m o s ə l i j a t
анатемосало	a n a t ɛ m o s a ɫ o
анатемосалото	a n a t ɛ m o s a ɫ o t o
анатемосам	a n a t ɛ m o s a m
анатемосаме	a n a t ɛ m o s a m ɛ
анатемосан	a n a t ɛ m o s ə n
анатемосана	a n a t ɛ m o s ə n ə
анатемосаната	a n a t ɛ m o s ə n a t ə
анатемосани	a n a t ɛ m o s ə n i
анатемосаните	a n a t ɛ m o s ə n i t ɛ
анатемосания	a n a t ɛ m o s ə n i j a
анатемосаният	a n a t ɛ m o s ə n i j a t
анатемосано	a n a t ɛ m o s ə n o
анатемосаното	a n a t ɛ m o s ə n o t o
анатемосат	a n a t ɛ m o s a t
анатемосате	a n a t ɛ m o s a t ɛ
анатемосах	a n a t ɛ m o s a x
анатемосаха	a n a t ɛ m o s a x ə
анатемосахме	a n a t ɛ m o s a x m ɛ
анатемосахте	a n a t ɛ m o s a x t ɛ
анатемосаш	a n a t ɛ m o s a ʃ
анатемосаше	a n a t ɛ m o s a ʃ ɛ
анатемосва	a n a t ɛ m o s v ə
анатемосвай	a n a t ɛ m o s v a j
анатемосвайки	a n a t ɛ m o s v a j k i
анатемосвайте	a n a t ɛ m o s v a j t ɛ
анатемосвал	a n a t ɛ m o s v a ɫ
анатемосвала	a n a t ɛ m o s v a ɫ ə
анатемосвалата	a n a t ɛ m o s v a ɫ a t ə
анатемосвали	a n a t ɛ m o s v a l i
анатемосвалите	a n a t ɛ m o s v a l i t ɛ
анатемосвалия	a n a t ɛ m o s v a l i j a
анатемосвалият	a n a t ɛ m o s v a l i j a t
анатемосвало	a n a t ɛ m o s v a ɫ o
анатемосвалото	a n a t ɛ m o s v a ɫ o t o
анатемосвам	a n a t ɛ m o s v a m
анатемосваме	a n a t ɛ m o s v a m ɛ
анатемосван	a n a t ɛ m o s v a n
анатемосвана	a n a t ɛ m o s v a n ə
анатемосваната	a n a t ɛ m o s v a n a t ə
анатемосване	a n a t ɛ m o s v a n ɛ
анатемосванета	a n a t ɛ m o s v a n ɛ t ə
анатемосванетата	a n a t ɛ m o s v a n ɛ t a t ə
анатемосването	a n a t ɛ m o s v a n ɛ t o
анатемосвани	a n a t ɛ m o s v a n i
анатемосваните	a n a t ɛ m o s v a n i t ɛ
анатемосвания	a n a t ɛ m o s v a n i j a
анатемосваният	a n a t ɛ m o s v a n i j a t
анатемосванията	a n a t ɛ m o s v a n i j a t ə
анатемосвано	a n a t ɛ m o s v a n o
анатемосваното	a n a t ɛ m o s v a n o t o
анатемосват	a n a t ɛ m o s v a t
анатемосвате	a n a t ɛ m o s v a t ɛ
анатемосвах	a n a t ɛ m o s v a x
анатемосваха	a n a t ɛ m o s v a x ə
анатемосвахме	a n a t ɛ m o s v a x m ɛ
анатемосвахте	a n a t ɛ m o s v a x t ɛ
анатемосваш	a n a t ɛ m o s v a ʃ
анатемосваше	a n a t ɛ m o s v a ʃ ɛ
анатемосващ	a n a t ɛ m o s v a ʃ t
анатемосваща	a n a t ɛ m o s v a ʃ t ə
анатемосващата	a n a t ɛ m o s v a ʃ t a t ə
анатемосващи	a n a t ɛ m o s v a ʃ t i
анатемосващите	a n a t ɛ m o s v a ʃ t i t ɛ
анатемосващия	a n a t ɛ m o s v a ʃ t i j a
анатемосващият	a n a t ɛ m o s v a ʃ t i j a t
анатемосващо	a n a t ɛ m o s v a ʃ t o
анатемосващото	a n a t ɛ m o s v a ʃ t o t o
анахронизъм	a n a x r o n i z a m
анестезиолог	a n ɛ s t ɛ z i o l o k
анестезиоложка	a n ɛ s t ɛ z i o l o ʃ k ə
анонимен	a n o n i m ɛ n
антена	a n t ɛ n ə
антика	a n t i k ə
антилопа	a n t i l o p ə
античен	a n t i tʃ ɛ n
антроположка	a n t r o p o l o ʃ k ə
анулира	a n u l i r ə
анулирай	a n u l i r a j
анулирайки	a n u l i r a j k i
анулирайте	a n u l i r a j t ɛ
анулирал	a n u l i r a ɫ
анулирала	a n u l i r a ɫ ə
анулиралата	a n u l i r a ɫ a t ə
анулирали	a n u ɫ i r a l i
анулиралите	a n u ɫ i r a l i t ɛ
анулиралия	a n u ɫ i r a l i j a
анулиралият	a n u ɫ i r a l i j a t
анулирало	a n u l i r a ɫ o
анулиралото	a n u l i r a ɫ o t o
анулираме	a n u l i r ə m ɛ
анулиран	a n u l i r a n
анулирана	a n u l i r a n ə
анулираната	a n u l i r a n a t ə
анулиране	a n u l i r a n ɛ
анулиранета	a n u l i r a n ɛ t ə
анулиранетата	a n u l i r a n ɛ t a t ə
анулирането	a n u l i r a n ɛ t o
анулирани	a n u l i r a n i
анулираните	a n u l i r a n i t ɛ
анулирания	a n u l i r a n i j a
анулираният	a n u l i r a n i j a t
анулиранията	a n u l i r a n i j a t ə
анулирано	a n u l i r a n o
анулираното	a n u l i r a n o t o
анулират	a n u l i r a t
анулирате	a n u l i r a t ɛ
анулирах	a n u l i r a x
анулираха	a n u l i r a x ə
анулирахме	a n u l i r a x m ɛ
анулирахте	a n u l i r a x t ɛ
анулираш	a n u l i r a ʃ
анулираше	a n u l i r a ʃ ɛ
анулиращ	a n u l i r a ʃ t
